X,Y,OBJECTID,STOP_NAME,STOP_CODE,NAPTAN_ATCO,ROAD_NAME,ROUTES,LIVE_BUS_ARRIVAL,OS_EASTING,OS_NORTHING,POSTCODE,DATE_UPDATED
544205.000000191,182880.999999302,5237677,North Circular Road,BP4248,490008545W,ALFRED'S WAY (EAST HAM AND BARKING BY-PASS),"173, 673",https://tfl.gov.uk/bus/stop/490008545W/,544205,182881,IG11 0AD,2024-12-11 00:00:00+00:00
544225.000000185,182944.999999301,5237678,Jenkins Lane,BP4247,490008545E2,ALFRED'S WAY (EAST HAM AND BARKING BY-PASS),173,https://tfl.gov.uk/bus/stop/490008545E2/,544225,182945,IG11 0YX,2024-12-11 00:00:00+00:00
532833.000000166,180182.999999471,5237679,London Bridge Station,BP4228,490000139A,LONDON BRIDGE STREET,"N21, N343",https://tfl.gov.uk/bus/stop/490000139A/,532833,180183,SE1 9SG,2024-12-11 00:00:00+00:00
516999.000000061,150333.999999482,5237680,Dorking Station / London Road,OC74,40004408240A,LONDON ROAD,465,https://tfl.gov.uk/bus/stop/40004408240A/,516999,150334,RH4 1TF,2024-12-11 00:00:00+00:00
517050.00000006,149797.999999485,5237681,Dorking Sports Centre,OC86,40004408113B,REIGATE ROAD,465,https://tfl.gov.uk/bus/stop/40004408113B/,517050,149798,RH4 1SP,2024-12-11 00:00:00+00:00
516323.000000022,148862.999999577,5237682,Townfield Court,OC81,40004408085A,VINCENT DRIVE,465,https://tfl.gov.uk/bus/stop/40004408085A/,516323,148863,RH4 2JE,2024-12-11 00:00:00+00:00
516177.000000052,149124.999999478,5237683,Vincent Lane,OC82,40004408088A,VINCENT LANE,465,https://tfl.gov.uk/bus/stop/40004408088A/,516177,149125,RH4 3FY,2024-12-11 00:00:00+00:00
512895.000000064,174950.999999567,5237684,Marshall Close,BP4560,490016507N,WELLINGTON ROAD SOUTH,H28,https://tfl.gov.uk/bus/stop/490016507N/,512895,174951,TW4 5HQ,2024-12-11 00:00:00+00:00
512887.000000075,174987.999999581,5237685,Marshall Close,BP4561,490016807S,WELLINGTON ROAD SOUTH,H28,https://tfl.gov.uk/bus/stop/490016807S/,512887,174988,TW4 5JL,2024-12-11 00:00:00+00:00
550744.000000071,182924.999999231,5237686,Askwith Road,BP4562,490016809E,NEW ROAD,"287, 365",https://tfl.gov.uk/bus/stop/490016809E/,550744,182925,RM13 8ET,2024-12-11 00:00:00+00:00
528890.000000085,169541.999999541,5237687,Warminster Way,BP4596,490016230S,GROVE ROAD,463,https://tfl.gov.uk/bus/stop/490016230S/,528890,169542,CR4 1AA,2024-12-11 00:00:00+00:00
528582.000000083,169404.999999548,5237688,St Marks C Of E Academy Playing Fields,BP4597,490016162W,GROVE ROAD,"152, 463, 633",https://tfl.gov.uk/bus/stop/490016162W/,528582,169405,CR4 1SF,2024-12-11 00:00:00+00:00
